=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2022.03.24 16:34:51 =~=~=~=~=~=~=~=~=~=~=~=
Smoothing factor 0.30
X, Y, Z
68, -18, -3
66, -22, -15
65, -71, -83
40, -70, -83
35, -58, -79
96, -43, -108
72, -37, -127
37, -41, -21
52, -20, -40
-16, -37, 45
-16, -27, 66
2, -57, -34
59, -35, -46
59, -25, 45
130, 5, 71
130, -21, 97
108, -20, 95
72, -10, 89
69, -9, 7
63, -21, 49
44, -32, 11
32, -25, 28
48, -54, 3
45, -38, -110
121, 2, -147
90, -3, -59
77, -45, -15
69, -22, 1
59, -21, -58
132, -10, 10
98, -28, 46
82, -54, 98
36, -21, 101
44, -105, 93
74, -81, 81
54, -63, 83
129, -57, 76
106, -53, 3
95, -68, -8
79, -47, 57
74, -37, 94
68, -6, 111
43, -18, 83
49, -17, 99
50, -60, 63
54, -59, 1
53, -16, -8
-3, -19, 1
40, -7, -33
37, -10, -120
59, -39, -161
41, -51, -111
16, -39, -115
18, -59, -119
0, -93, -64
23, -71, -81
50, -43, -114
53, -32, -152
65, -49, -115
71, -30, -125
60, -26, -137
69, -37, -101
142, -86, -70
101, -68, -125
162, -41, -36
118, -53, -30
104, -40, -79
97, -23, -93
12, -21, -29
0, -28, 28
18, -33, -29
11, -25, -19
21, -34, -25
30, -41, -110
40, -44, -61
39, -13, -64
84, -2, -51
79, -81, -63
40, -57, 12
33, -40, 26
120, -53, -44
116, -77, -32
94, -49, -66
107, -24, -42
92, -57, -96
17, -55, -56
25, -42, 28
44, -37, 66
46, -35, -18
48, -58, -4
46, -70, -22
56, -47, 58
46, -13, 47
57, 7, 64
44, 2, -53
25, 23, 21
20, 3, -33
23, -15, -101
59, -10, -41
62, -13, -125
45, 18, -106
42, 12, -133
25, 21, -141
39, -1, -90
39, 8, -9
61, 17, -21
54, 1, 0
49, -32, -38
23, -35, -90
25, -33, -35
-2, -24, -75
1, -32, -3
24, -33, -44
89, -22, -78
70, -22, -52
139, -38, -86
112, -38, -153
54, -28, -183
41, -15, -189
16, 26, -126
38, 7, -121
38, -43, -109
58, 3, -51
50, -15, -57
57, -41, -56
53, -48, -86
56, -23, -119
68, -11, -133
55, -11, -159
40, -10, -101
115, 0, -31
104, -31, -93
88, -49, 23
116, -49, -96
102, -117, -36
107, -54, 10
88, -38, -116
49, 10, -66
46, -8, -79
39, 13, -61
41, 12, -68
27, 9, -59
25, 2, -68
28, -21, 2
29, -105, -44
27, -66, -10
24, -126, -4
17, -95, 59
22, -71, 2
32, -34, -68
70, -19, -49
69, -24, -38
123, -12, -51
103, -22, -12
115, -17, 57
92, -31, 93
160, -22, 144
140, -24, 139
191, -37, 93
162, -36, 118
132, -42, 58
94, -45, 81
72, -29, -12
107, -21, -10
93, 24, -106
82, 31, -25
79, -65, -105
47, -43, -41
51, -26, 5
129, -74, -17
114, -88, -8
98, -41, -55
114, -6, -40
102, 54, 47
79, 32, 65
71, -14, 35
54, -37, 41
0, -34, 35
5, -28, 27
39, -21, 129
67, -13, 103
64, -6, 67
64, -6, 116
48, -10, 98
48, -40, 83
22, -52, 31
33, -37, 17
68, -28, 48
61, -25, -14
131, -23, 28
108, -16, 0
94, -36, -114
49, -34, -127
48, -14, -40
33, -25, -9
38, -27, -68
42, -16, -14
35, -4, -8
54, -43, -47
14, -6, -56
29, -6, -95
36, -32, -104
66, 3, -37
62, 12, -49
14, 16, -73
14, 3, -41
33, 13, -82
25, 16, -3
34, 6, 5
112, 11, 7
129, -3, 24
104, -85, -31
77, -31, -52
71, -40, -77
134, -31, -80
117, -43, -81
30, -29, -50
51, 0, -38
55, -15, -64
58, -12, -54
52, -24, -5
39, -33, 20
75, -58, 33
77, -126, -15
38, -45, 15
22, -27, -45
-18, -13, -21
6, -23, -25
14, -25, -79
37, -45, -45
31, -21, -48
9, -36, -62
21, -42, -13
28, 0, -58
57, 18, -55
55, 10, -28
122, -27, 20
114, -35, 68
96, -5, 8
37, -27, -44
46, -17, -75
40, -9, -112
55, 26, -61
53, -33, -81
40, 20, -33
34, 8, 26
41, -23, 19
55, 7, -12
50, -3, 56
113, -25, -38
96, -43, -56
163, -54, -68
147, -59, -121
119, -87, -56
113, -61, 76
97, -57, 64
66, -21, 88
57, -17, 76
78, -22, 32
85, -35, 4
67, -23, 15
28, -33, 25
35, -33, 54
113, -18, 19
108, -21, -2
90, -34, -20
85, -46, -63
79, -118, -42
19, -88, -31
33, -73, -75
113, -84, -100
94, -60, -98
80, -26, -152
74, -30, -145
60, -45, -138
70, 8, -62
59, 3, -71
26, -29, -89
48, -37, -94
45, -48, -96
73, -71, -24
70, -137, -40
84, -122, -90
74, -166, -142
67, -99, -98
57, -84, -29
52, -99, -89
31, -62, -18
116, -40, 20
113, -50, -54
162, -31, -27
95, -19, -40
81, -24, -38
75, -75, -62
65, -140, -27
41, -94, -69
26, -68, -19
-34, -87, -47
7, -79, 4
10, -63, -20
31, -81, -73
56, -48, -93
131, -54, -90
113, -30, -109
176, -20, -29
149, 9, 13
112, -21, 15
102, -26, 33
92, -21, 9
160, -35, -2
95, -70, 49
80, -98, 61
48, -55, 64
47, 24, 45
51, 23, -42
23, 35, 15
40, 20, 64
29, 17, 87
34, -10, 27
40, -26, -11
46, -28, -10
39, -97, 8
34, -65, 60
52, -29, -4
55, 8, -18
52, -45, 21
49, -37, 39
119, -17, 37
88, -28, 55
71, 14, 84
83, 24, 44
68, 2, 10
56, -22, -91
69, -26, -98
68, -18, -78
72, -46, -114
75, -37, -129
49, 17, -96
58, -7, -75
63, 6, -85
21, -2, -47
41, -14, -61
27, -17, -138
34, 0, -57
45, -3, -112
27, 2, -51
40, -27, -44
40, -5, -72
52, -9, -99
63, -10, -128
89, 0, -58
56, -7, -87
55, -48, -37
50, -38, -47
69, -33, -73
45, -38, 33
38, -30, 0
50, -27, -69
49, -5, 10
64, -8, 82
-9, -17, 0
10, -38, 36
28, -26, 17
39, -46, -10
30, -34, 23
28, 5, 130
50, -39, 12
56, -43, 45
-14, -23, 12
0, -38, 51
20, -113, -33
52, -95, -130
54, -71, -124
66, -59, -76
60, -125, 24
42, -89, -10
54, -84, -100
42, -107, -110
61, -81, -39
-10, -63, 12
38, -73, -36
36, -79, -20
66, -66, 3
66, -45, -24
-5, -44, 37
19, -40, 57
19, -42, -44
18, -21, 107
26, -20, 59
32, -22, 32
50, 0, 63
50, -87, -15
53, -26, 40
37, -15, -114
112, 12, -67
92, -5, -95
75, -3, -110
120, -10, -53
105, -92, -131
94, -126, -58
93, -104, -10
99, -103, -16
83, -69, -61
103, -72, -47
92, -64, -61
148, -54, -166
120, -45, -135
98, -87, -121
86, -70, -81
68, -88, -27
92, -93, 16
73, -52, -26
59, -29, -20
57, -31, -22
136, -29, 41
102, -38, 78
86, 9, 23
47, 19, -11
36, 5, -4
43, -4, -56
68, -24, -26
57, -26, -10
85, -2, -85
69, -17, -71
65, -15, -121
73, -38, -114
