=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2022.03.30 12:03:54 =~=~=~=~=~=~=~=~=~=~=~=
Filtered: 0
X, Y, Z
91, 32, 8332
96, 59, 8323
87, 45, 8189
101, 6, 8213
116, 23, 8429
128, 9, 8413
126, 13, 8265
112, 11, 8257
102, 17, 8276
102, 19, 8322
104, 24, 8306
81, 18, 8275
82, 40, 8310
90, 5, 8286
83, 24, 8308
100, 21, 8300
88, 11, 8298
115, -3, 8284
105, 253, 8289
98, 18, 8290
118, 24, 8299
114, 22, 8326
92, 22, 8335
99, 37, 8293
104, 49, 8270
106, 50, 8318
92, 65, 8317
77, 67, 8314
94, 41, 8303
73, 44, 8290
67, 18, 8300
86, 13, 8297
90, 19, 8315
93, 16, 8286
104, 20, 8277
104, 28, 8305
107, 22, 8317
119, 17, 8334
105, 22, 8295
120, -16, 8268
122, -22, 8299
114, -19, 8300
117, -13, 8305
112, 5, 8337
92, 45, 8303
89, 35, 8306
85, 48, 8297
83, 59, 8311
69, 54, 8302
80, 44, 8302
83, 39, 8310
82, 24, 8284
99, 15, 8326
113, 6, 8309
112, 4, 8280
98, 8, 8250
102, 12, 8300
106, 5, 8332
86, 19, 8332
88, 14, 8247
86, 29, 8296
89, 17, 8346
107, 20, 8282
88, 23, 8294
100, 28, 8270
82, 18, 8277
93, 11, 8306
88, 20, 8276
101, 20, 8307
96, 35, 8306
85, 29, 8291
105, 30, 8267
104, 33, 8295
99, 12, 8325
102, 26, 8323
87, 19, 8299
81, -2, 8304
90, 1, 8098
91, -4, 7910
85, 55, 8764
83, 77, 8629
146, -13, 8302
107, 53, 8308
119, -3, 8250
106, 41, 8358
111, 12, 8329
101, 10, 8318
84, 30, 8223
106, -4, 8205
75, 31, 8349
86, 12, 8366
100, 14, 8342
88, 13, 8325
89, 10, 8260
100, -10, 8283
104, 23, 8285
116, 21, 8323
96, 19, 8316
117, 36, 8314
106, 35, 8303
115, 17, 8308
106, 16, 8318
80, 42, 8304
92, 24, 8310
79, 17, 8296
76, 13, 8297
88, 5, 8308
87, -10, 8329
81, 13, 8303
102, 21, 8312
122, 17, 8286
88, 38, 8286
114, 29, 8310
110, 28, 8321
109, 40, 8309
89, 47, 8297
99, 6, 8295
98, -1, 8284
98, -4, 8319
97, 9, 8315
104, -3, 8302
90, 23, 8312
81, 32, 8283
80, 11, 8286
84, 27, 8307
72, 40, 8315
85, 36, 8313
98, 29, 8319
109, 14, 8295
114, 11, 8310
124, 13, 8293
121, 24, 8281
110, 11, 8278
104, 30, 8323
97, 15, 8313
93, 1, 8325
90, 7, 8341
94, -1, 8313
88, 6, 8319
100, 14, 8280
89, 11, 8276
101, 24, 8306
101, 24, 8311
95, 27, 8311
95, 39, 8350
109, 55, 8321
122, 54, 8346
112, 61, 8295
111, 48, 8267
117, 42, 8231
98, 26, 8256
83, 35, 8330
82, 3, 8301
88, 10, 8329
94, -23, 8346
92, -19, 8279
109, -20, 8277
98, -13, 8262
91, -20, 8271
102, 241, 8329
105, 14, 8322
112, 41, 8313
110, 53, 8315
120, 62, 8295
121, 64, 8308
103, 35, 8291
111, 32, 8291
100, 32, 8318
86, 27, 8311
74, 27, 8307
57, 20, 8298
77, 18, 8302
93, 21, 8307
103, 21, 8297
109, 34, 8296
123, 36, 8310
114, 22, 8309
125, 36, 8306
121, 41, 8343
130, 57, 8334
113, 28, 8298
111, 32, 8251
115, 20, 8266
106, 12, 8289
96, 17, 8280
101, 5, 8333
93, -4, 8321
92, 9, 8318
72, 13, 8311
81, 7, 8289
71, 13, 8521
79, 4, 8018
125, 6, 8200
75, 38, 8045
117, 28, 7689
64, 100, 8543
86, 107, 8468
165, 28, 8648
96, 62, 8425
151, 0, 8112
88, 27, 8275
101, 6, 8470
75, 4, 8450
44, -10, 8239
117, -27, 8245
81, -19, 8205
112, -25, 8211
115, 6, 8351
107, -6, 8300
125, 11, 8321
109, 24, 8316
103, 25, 8281
107, 51, 8330
103, 62, 8312
114, 61, 8298
80, 76, 8283
110, 49, 8283
83, 36, 8322
76, 3, 8316
80, -3, 8288
71, 2, 8280
95, 2, 8288
85, 6, 8314
105, 15, 8318
113, 34, 8338
121, 27, 8305
117, 15, 8273
108, 0, 8280
114, 0, 8300
110, 4, 8318
98, 0, 8311
84, -10, 8325
77, -1, 8288
73, 17, 8295
95, 26, 8312
99, 52, 8299
102, 49, 8328
105, 55, 8323
118, 51, 8289
108, 35, 8299
118, 28, 8300
102, 42, 8301
88, 39, 8316
76, 18, 8290
75, 33, 8319
85, 23, 8305
96, 16, 8316
103, 18, 8284
108, 23, 8293
104, 16, 8307
104, 19, 8281
96, 22, 8294
83, 27, 8325
83, 31, 8333
98, 26, 8319
109, 31, 8298
130, -2, 8258
137, 19, 8275
121, 41, 8320
139, 25, 8324
109, 36, 8347
80, 41, 8294
89, 17, 8286
75, 3, 8303
57, 22, 8268
74, -7, 8332
79, -19, 8314
91, -12, 8309
102, -11, 8273
115, -12, 8305
124, 24, 8313
120, 31, 8300
132, 19, 8313
111, 42, 8301
125, 44, 8302
107, 40, 8303
93, 54, 8280
84, 52, 8300
92, 65, 8302
88, 32, 8300
83, 36, 8299
81, 29, 8295
99, 34, 8309
100, 29, 8314
98, 17, 8275
88, 17, 8293
101, 9, 8303
105, 3, 8310
99, 9, 8290
