=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2022.03.30 12:05:07 =~=~=~=~=~=~=~=~=~=~=~=
Filtered: 1Exp Smooth Fact: 0.90
X, Y, Z
2, -16, -6
14, 0, -10
-3, 3, -10
-5, 14, -5
-23, 27, -11
-18, 18, -2
-33, 20, -2
-34, 22, 10
-32, 13, 8
-29, 16, 6
-5, -10, -7
1, -10, -17
11, -19, 2
25, -11, 11
19, -1, 5
27, -6, 5
23, -9, 17
1, -4, 2
1, -3, -17
-2, 7, -8
-10, 3, -21
-4, 18, -3
-11, 0, 11
-14, 4, -16
-9, 3, 0
-27, 7, -13
-15, 15, 6
-16, 10, -2
-14, 2, 6
-5, 20, 0
6, -3, -5
16, 0, 4
7, -4, 18
15, 0, 0
30, -4, -16
29, -10, -13
-10, -2, -5
1, 4, -1
-6, 13, -7
-17, 10, -5
-13, 8, 0
-17, 16, 13
-19, 11, 16
-3, 6, 11
10, 3, -21
5, -16, -30
6, -24, -14
-1, -10, 8
0, 4, -10
1, 11, -12
-17, 0, 2
1, 3, -19
-18, -3, 13
-12, 3, 40
-18, 15, 28
-19, 30, -9
-3, 22, 1
-11, 4, -5
3, 3, -15
0, 3, -6
25, -1, 2
6, -3, -16
6, -6, -10
20, -11, 5
-7, -8, -8
-14, -8, 3
-15, -7, 3
-24, 4, 6
-15, 6, -4
-24, 16, 13
-25, 5, -9
6, 12, 2
-11, 12, -8
-4, 12, -9
-2, 11, 0
11, 0, 5
7, -3, -6
5, -17, -22
7, -14, -6
4, -15, -3
-1, -15, 0
-14, -6, 5
-17, 2, -6
-11, 11, -10
-22, 29, -1
-26, 33, -9
-4, 50, 5
-30, 34, -16
-13, 20, -18
-17, 7, -11
-5, -10, -10
-2, -12, 9
9, -36, -19
10, -36, -15
15, -27, 2
6, -1, -4
17, -7, 0
-6, 10, 0
-9, 10, -13
-3, 18, 0
-19, 16, 10
-10, 7, 7
-12, 11, 5
-23, 2, -17
-27, 13, -18
-20, -1, -33
11, -19, -14
-14, -9, 44
19, -12, -6
27, -9, -17
0, 11, -12
5, -6, -36
22, 11, -4
-9, 7, 16
-3, 4, 14
5, 4, 25
0, -6, -1
-17, -231, -2
-11, -51, -9
0, -15, -11
-15, 6, -18
0, 6, -1
-9, 6, -7
1, 6, -18
10, 21, 5
8, 7, 6
10, -1, -2
8, 0, 0
11, -4, -5
10, -7, -5
4, -7, -19
2, -12, 4
-9, -7, -4
-17, -17, 4
-10, -4, -4
-6, 2, -1
-22, 0, -13
-4, 5, 0
-1, 16, 2
-10, 22, 0
10, 10, 3
-11, 10, -8
3, 0, 12
0, 0, 7
16, -11, -30
13, -14, 4
14, -10, 3
14, -29, 9
23, -17, 5
1, -11, 7
-6, -11, -7
2, -8, 4
-4, 1, -24
-1, 22, -13
-20, 37, -67
-15, 5, -25
8, 8, 8
-3, 12, -1
-4, -28, -12
13, -14, -21
-11, -15, -15
21, -24, -3
10, -24, 27
0, -8, 34
3, 0, 21
7, -3, -9
17, 3, 6
-6, -6, -8
13, -5, -7
-6, -6, -5
0, -5, -12
2, 7, -7
1, 13, -6
-11, 15, -15
-5, 1, 2
-3, 7, 3
-5, -2, 0
3, -15, -16
16, -6, -26
11, -10, 4
25, -11, 5
2, 1, 9
0, -3, 3
3, 1, 7
1, 1, -13
-8, 24, -22
-17, 15, -8
-6, 7, -25
-10, -1, 2
-9, -1, -7
11, -2, 13
11, -11, 1
2, -10, 6
23, -6, 0
-1, -11, -10
12, -7, -19
12, 7, 2
3, 8, 1
12, 4, -5
5, -9, 20
8, -9, -6
6, -4, -12
-13, 4, -18
-7, 15, -7
-5, 6, 1
-14, 10, -1
-8, 10, 0
0, 1, -1
20, 4, 4
-4, 9, -7
