=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2022.04.06 16:37:34 =~=~=~=~=~=~=~=~=~=~=~=
Filtered: 0
X, Y, Z
81, -24, 8307
80, -20, 8303
77, -20, 8308
65, -28, 8309
85, -29, 8315
67, -12, 8300
76, -26, 8303
83, -33, 8306
84, -24, 8307
82, -27, 8306
77, -26, 8319
87, -23, 8302
82, -25, 8305
78, -30, 8300
73, -35, 8307
84, -21, 8310
80, -22, 8303
85, -35, 8314
86, -17, 8310
70, -23, 8303
80, -22, 8296
92, -21, 8308
78, -22, 8310
80, -28, 8310
73, -28, 8315
87, -14, 8316
84, -25, 8309
82, -25, 8302
79, -21, 8315
81, -32, 8303
76, -28, 8302
77, -17, 8319
76, -32, 8303
63, -24, 8310
85, -20, 8306
77, -22, 8294
74, -26, 8307
83, -36, 8314
72, -21, 8301
78, -20, 8308
77, -19, 8323
71, -32, 8308
79, -29, 8309
91, -24, 8299
86, -26, 8309
81, -24, 8299
87, -19, 8291
92, -27, 8308
87, -24, 8300
71, -26, 8303
71, -17, 8302
76, -25, 8305
86, -23, 8284
78, -17, 8311
63, -23, 8312
85, -17, 8304
85, -24, 8302
96, -30, 8300
95, -22, 8288
75, -24, 8306
67, -8, 8298
69, -20, 8309
85, -26, 8320
72, -30, 8301
76, -27, 8294
81, -30, 8304
75, -21, 8306
70, -24, 8300
73, -21, 8313
92, -20, 8314
70, -21, 8305
77, -26, 8312
71, -15, 8318
63, -21, 8298
81, -29, 8309
65, -27, 8320
62, -32, 8321
77, -21, 8308
84, -25, 8300
90, -23, 8312
88, -33, 8298
79, -11, 8293
76, -23, 8301
79, -23, 8298
88, -27, 8304
77, -25, 8306
66, -43, 8317
64, -20, 8309
76, -28, 8303
88, -29, 8310
72, -26, 8305
76, -29, 8308
84, -18, 8306
75, -33, 8301
73, -23, 8315
73, -23, 8306
75, -24, 8298
83, -25, 8317
73, -30, 8311
78, -27, 8318
75, -29, 8307
75, -27, 8311
87, -35, 8317
73, -23, 8295
86, -15, 8313
72, -22, 8306
80, -32, 8304
88, -16, 8299
85, -23, 8307
71, -16, 8299
90, -28, 8305
85, -25, 8301
74, -28, 8311
92, -15, 8316
86, -23, 8295
79, -27, 8322
69, -22, 8285
74, -26, 8297
84, -20, 8303
75, -20, 8308
85, -24, 8309
86, -27, 8305
84, -22, 8302
75, -31, 8298
81, -34, 8304
82, -31, 8315
70, -28, 8315
70, -31, 8307
80, -26, 8296
76, -30, 8314
68, -19, 8308
78, -42, 8325
78, -30, 8316
69, -27, 8307
83, -22, 8304
73, -19, 8318
72, -26, 8323
68, -19, 8295
88, -26, 8297
68, -33, 8316
70, -11, 8303
85, -24, 8321
82, -34, 8307
63, -19, 8306
65, -20, 8295
85, -20, 8297
82, -26, 8299
71, -4, 8297
79, -22, 8299
91, -22, 8312
78, -28, 8280
74, -21, 8302
79, -29, 8309
69, -24, 8300
82, -34, 8308
83, -23, 8307
82, -28, 8300
80, -36, 8315
72, -27, 8308
76, -23, 8298
90, -12, 8317
83, -28, 8295
91, -17, 8309
78, -25, 8293
84, -22, 8314
86, -29, 8312
86, -27, 8297
84, -25, 8306
70, -22, 8313
67, -27, 8315
80, -21, 8301
86, -12, 8308
79, -19, 8313
86, -25, 8293
65, -25, 8296
81, -21, 8308
77, -31, 8306
77, -20, 8307
83, -23, 8311
86, -34, 8308
75, -11, 8302
80, -32, 8311
84, -24, 8284
77, -24, 8300
79, -22, 8303
81, -24, 8294
79, -31, 8304
79, -28, 8303
91, -27, 8307
81, -25, 8310
67, -19, 8299
82, -23, 8286
73, -34, 8288
80, -21, 8289
73, -18, 8300
83, -30, 8294
84, -20, 8295
82, -35, 8290
76, -14, 8299
72, -29, 8328
80, -21, 8302
70, -28, 8316
77, -23, 8298
80, -20, 8308
66, -22, 8309
78, -26, 8295
75, -29, 8303
83, -26, 8303
83, -26, 8295
78, -22, 8293
73, -19, 8299
70, -27, 8295
88, -33, 8310
70, -21, 8302
91, -26, 8303
75, -21, 8307
84, -20, 8297
86, -28, 8310
